generation,N_shifts,logPrior,logLik,eventRate,acceptRate
9400000,0,-3.11599,-107.765,0.491788,0.444714
9420000,1,-7.02565,-106.732,0.371412,0.4553
9440000,2,-10.8739,-104.875,1.23113,0.467333
9460000,0,-2.70184,-105.68,0.414609,0.537
9480000,1,-6.97201,-106.366,0.933141,0.422
9500000,0,-3.13256,-103.941,1.00192,0.444333
9520000,0,-2.38441,-106.612,0.168608,0.4505
9540000,0,-2.88572,-103.355,0.759676,0.447667
9560000,1,-7.31071,-98.3005,0.959085,0.5202
9580000,0,-2.92578,-107.623,0.170387,0.438
9600000,0,-2.32861,-103.329,0.15103,0.444
9620000,0,-2.59876,-104.626,0.0388834,0.479
9640000,0,-3.24101,-104.935,0.39796,0.464833
9660000,0,-2.43633,-104.11,0.142421,0.5595
9680000,0,-3.45836,-104.925,1.29039,0.4635
9700000,0,-3.11066,-104.091,0.392711,0.423333
9720000,0,-3.23137,-103.618,0.985588,0.5695
9740000,2,-10.1836,-101.024,1.08403,0.427875
9760000,0,-4.75537,-105.841,0.768992,0.418
9780000,0,-3.46557,-106.588,0.49516,0.398
9800000,0,-2.62988,-104.956,0.479953,0.4765
9820000,0,-2.5791,-105.698,0.277061,0.437
9840000,0,-3.48248,-109.167,1.17406,0.447
9860000,0,-2.76276,-106.505,0.51755,0.44675
9880000,0,-2.57307,-103.839,0.425999,0.418
9900000,0,-2.28761,-106.397,0.027912,0.473
9920000,1,-4.4584,-104.43,0.156152,0.448929
9940000,0,-3.17548,-104.065,0.691107,0.464318
9960000,0,-3.85416,-103.488,0.911883,0.4995
9980000,1,-6.11417,-105.085,0.494254,0.446
10000000,0,-2.61649,-104.945,0.36614,0.480187
10020000,0,-3.14333,-103.182,0.988959,0.415
10040000,0,-2.19995,-103.732,0.00484241,0.4185
10060000,1,-7.24556,-105.297,0.848397,0.3955
10080000,0,-4.6484,-106.554,2.20518,0.417
10100000,0,-3.00354,-105.072,0.375628,0.454188
10120000,0,-2.61063,-105.139,0.454795,0.441455
10140000,1,-10.5811,-111.481,3.228,0.443714
10160000,0,-2.47762,-103.889,0.280074,0.454583
10180000,2,-12.0783,-98.8686,2.42233,0.604
10200000,0,-3.44364,-105.342,1.08308,0.457
10220000,0,-2.47837,-104.913,0.284202,0.484167
10240000,0,-2.25042,-105.063,0.0129817,0.427333
10260000,0,-2.47322,-104.678,0.238703,0.5435
10280000,0,-2.99065,-104.765,0.487749,0.4345
10300000,0,-2.63696,-105.412,0.0736634,0.44575
